USER,PID,%CPU,%MEM,VSZ,RSS,TTY,STAT,START,TIME,COMMAND
root,9881,0.0,0.0,4064,316,tty6,Ss+,2014,0:00,/sbin/mingetty,/dev/tty6
root,9967,0.0,0.0,4184520,3568,?,Sl,2014,0:04,/usr/sbin/console-kit-daemon,--no-daemon
root,10043,0.0,0.0,50128,2128,?,S,2014,0:02,/usr/libexec/devkit-power-daemon
root,10093,0.0,0.0,184044,5388,?,S,2014,0:05,/usr/libexec/polkit-1/polkitd
rtkit,10105,0.0,0.0,168456,860,?,SNl,2014,1:03,/usr/libexec/rtkit-daemon
root,10125,0.0,0.0,55820,2036,?,Sl,Jan21,1:58,/usr/libexec/udisks-daemon
root,10126,0.0,0.0,45220,560,?,S,Jan21,0:00,udisks-daemon:,not,polling,any,devices
root,10424,0.0,0.0,66216,852,?,Ss,Jan28,0:00,/usr/sbin/sshd
502,10907,0.0,0.0,65184,2648,?,Sl,Feb23,0:00,/usr/bin/gnome-keyring-daemon,--daemonize,--login
root,10912,0.0,0.0,141776,2052,?,S,Feb23,0:00,pam:,gdm-password
blaufer,15644,0.0,0.1,720896,9664,?,Sl,Feb16,0:00,/usr/libexec/e-calendar-factory
root,21129,0.0,0.0,166972,3556,?,Sl,14:09,0:00,/usr/libexec/gdm-simple-slave,--display-id,/org/gnome/DisplayManager/Display1
gdm,21149,0.0,0.0,20040,648,?,S,14:09,0:00,/usr/bin/dbus-launch,--exit-with-session
root,21181,0.0,0.0,213920,6520,?,Sl,14:09,0:00,pam:,gdm-password
blaufer,21330,0.0,0.1,928852,12248,?,Sl,Feb10,0:00,/usr/libexec/e-calendar-factory
blaufer,21809,0.0,0.0,231220,5724,?,Sl,18:24,0:00,/usr/bin/gnome-keyring-daemon,--daemonize,--login
blaufer,21821,0.0,0.0,255324,6544,?,Ssl,18:24,0:00,gnome-session
blaufer,21829,0.0,0.0,22132,652,?,S,18:24,0:00,dbus-launch,--sh-syntax,--exit-with-session
blaufer,21830,0.0,0.0,34560,1848,?,Ssl,18:24,0:00,/bin/dbus-daemon,--fork,--print-pid,5,--print-address,7,--session
blaufer,21911,0.0,0.0,135764,5720,?,S,18:24,0:00,/usr/libexec/gconfd-2
blaufer,21919,0.0,0.1,509608,13668,?,Ssl,18:24,0:00,/usr/libexec/gnome-settings-daemon
blaufer,21921,0.0,0.0,288400,7928,?,Ss,18:24,0:00,seahorse-daemon
blaufer,21923,0.0,0.0,139480,2104,?,S,18:24,0:00,/usr/libexec/gvfsd
blaufer,21943,0.0,0.1,454500,14060,?,Sl,18:24,0:02,metacity
blaufer,21947,0.0,0.0,526068,5152,?,S<sl,18:24,0:00,/usr/bin/pulseaudio,--start,--log-target=syslog
blaufer,21948,0.0,0.3,524276,30072,?,Sl,18:24,0:02,gnome-panel
