Year MO DY HR MN BOUH
2013 04 02 04 24 20813.39
2013 04 02 04 25 20813.31
2013 04 02 04 26 20813.31
2013 04 02 04 27 20813.42
2013 04 02 04 28 20813.50
2013 04 02 04 29 20813.51
2013 04 02 04 30 20813.72
2013 04 02 04 31 20813.89
2013 04 02 04 32 20814.07
2013 04 02 04 33 20814.31
2013 04 02 04 34 20814.68
2013 04 02 04 35 20814.88
2013 04 02 04 36 20814.98
2013 04 02 04 37 20815.42
2013 04 02 04 38 20815.58
2013 04 02 04 39 20815.55
2013 04 02 04 40 20815.69
2013 04 02 04 41 20815.72
2013 04 02 04 42 20815.71
2013 04 02 04 43 20815.65
2013 04 02 04 44 20815.52
2013 04 02 04 45 20815.51
2013 04 02 04 46 20815.57
2013 04 02 04 47 20815.78
2013 04 02 04 48 20815.94
2013 04 02 04 49 20815.92
2013 04 02 04 50 20816.04
2013 04 02 04 51 20815.85
2013 04 02 04 52 20815.68
2013 04 02 04 53 20815.40
2013 04 02 04 54 20815.18
2013 04 02 04 55 20814.83
2013 04 02 04 56 20814.56
2013 04 02 04 57 20814.55
2013 04 02 04 58 20814.54
2013 04 02 04 59 20814.39
2013 04 02 05 00 20814.29
2013 04 02 05 01 20813.97
2013 04 02 05 02 20813.92
2013 04 02 05 03 20814.13
2013 04 02 05 04 20814.23
2013 04 02 05 05 20814.29
2013 04 02 05 06 20814.33
2013 04 02 05 07 20814.26
2013 04 02 05 08 20814.24
2013 04 02 05 09 20814.36
2013 04 02 05 10 20814.49
2013 04 02 05 11 20814.44
2013 04 02 05 12 20814.44
2013 04 02 05 13 20814.51
2013 04 02 05 14 20814.54
2013 04 02 05 15 20814.55
2013 04 02 05 16 20814.49
2013 04 02 05 17 20814.51
2013 04 02 05 18 20814.69
2013 04 02 05 19 20814.93
2013 04 02 05 20 20815.18
2013 04 02 05 21 20815.40
2013 04 02 05 22 20815.43
2013 04 02 05 23 20815.46
2013 04 02 05 24 20815.61
2013 04 02 05 25 20815.88
2013 04 02 05 26 20816.09
2013 04 02 05 27 20815.91
2013 04 02 05 28 20815.86
2013 04 02 05 29 20815.78
2013 04 02 05 30 20815.71
2013 04 02 05 31 20815.70
2013 04 02 05 32 20815.74
2013 04 02 05 33 20815.75
2013 04 02 05 34 20815.69
2013 04 02 05 35 20815.52
2013 04 02 05 36 20815.42
2013 04 02 05 37 20815.61
2013 04 02 05 38 20815.71
2013 04 02 05 39 20815.62
2013 04 02 05 40 20815.52
2013 04 02 05 41 20815.45
2013 04 02 05 42 20815.34
2013 04 02 05 43 20815.33
2013 04 02 05 44 20815.33
2013 04 02 05 45 20815.38
2013 04 02 05 46 20815.42
2013 04 02 05 47 20815.53
2013 04 02 05 48 20815.69
2013 04 02 05 49 20815.70
2013 04 02 05 50 20815.48
2013 04 02 05 51 20815.49
2013 04 02 05 52 20815.36
2013 04 02 05 53 20815.23
2013 04 02 05 54 20815.18
2013 04 02 05 55 20815.17
2013 04 02 05 56 20815.15
2013 04 02 05 57 20815.01
2013 04 02 05 58 20814.74
2013 04 02 05 59 20814.45
2013 04 02 06 00 20814.45
2013 04 02 06 01 20814.47
2013 04 02 06 02 20814.56
2013 04 02 06 03 20814.93
2013 04 02 06 04 20814.82
2013 04 02 06 05 20814.55
2013 04 02 06 06 20814.36
2013 04 02 06 07 20814.10
2013 04 02 06 08 20814.15
